1,-21,-21
2,-21,-21
3,-21,-21
4,-21,-21
5,-21,-21
6,-20,-20.99
7,-21,-20.9901
8,-21,-20.990199
9,-21,-20.99029701
10,-20,-20.98039404
11,-20,-20.9705901
12,-20,-20.9608842
13,-21,-20.96127536
14,-21,-20.9616626
15,-20,-20.95204598
16,-20,-20.94252552
17,-21,-20.94310026
18,-20,-20.93366926
19,-20,-20.92433257
20,-20,-20.91508924
21,-21,-20.91593835
22,-21,-20.91677897
23,-20,-20.90761118
24,-20,-20.89853506
25,-20,-20.88954971
26,-20,-20.88065422
27,-20,-20.87184767
28,-21,-20.8731292
29,-20,-20.86439791
30,-21,-20.86575393
31,-19,-20.84709639
32,-21,-20.84862542
33,-20,-20.84013917
34,-20,-20.83173778
35,-21,-20.8334204
36,-20,-20.8250862
37,-20,-20.81683533
38,-18,-20.78866698
39,-21,-20.79078031
40,-21,-20.79287251
41,-21,-20.79494378
42,-20,-20.78699434
43,-20,-20.7791244
44,-20,-20.77133316
45,-20,-20.76361983
46,-19,-20.74598363
47,-20,-20.73852379
48,-21,-20.74113855
49,-21,-20.74372717
50,-21,-20.7462899
51,-20,-20.738827
52,-20,-20.73143873
53,-21,-20.73412434
54,-21,-20.7367831
55,-18,-20.70941527
56,-20,-20.70232111
57,-21,-20.7052979
58,-20,-20.69824492
59,-19,-20.68126247
60,-20,-20.67444985
61,-21,-20.67770535
62,-21,-20.6809283
63,-21,-20.68411901
64,-20,-20.67727782
65,-21,-20.68050504
66,-21,-20.68369999
67,-20,-20.67686299
68,-21,-20.68009436
69,-20,-20.67329342
70,-20,-20.66656049
71,-20,-20.65989488
72,-21,-20.66329593
73,-20,-20.65666297
74,-20,-20.65009634
75,-21,-20.65359538
76,-21,-20.65705943
77,-21,-20.66048883
78,-21,-20.66388394
79,-19,-20.6472451
80,-20,-20.64077265
81,-21,-20.64436493
82,-20,-20.63792128
83,-20,-20.63154207
84,-21,-20.63522664
85,-20,-20.62887438
86,-21,-20.63258563
87,-20,-20.62625978
88,-21,-20.62999718
89,-20,-20.62369721
90,-20,-20.61746024
91,-21,-20.62128563
92,-21,-20.62507278
93,-20,-20.61882205
94,-21,-20.62263383
95,-20,-20.61640749
96,-20,-20.61024342
97,-20,-20.60414098
98,-21,-20.60809957
99,-18,-20.58201858
100,-17,-20.54619839
101,-20,-20.54073641
102,-20,-20.53532904
103,-20,-20.52997575
104,-20,-20.52467599
105,-20,-20.51942923
106,-21,-20.52423494
107,-21,-20.52899259
108,-21,-20.53370267
109,-21,-20.53836564
110,-20,-20.53298198
111,-20,-20.52765216
112,-21,-20.53237564
113,-21,-20.53705189
114,-21,-20.54168137
